PERMNO,QNO,MOM_RANK,FRET1
10002,52.0,7,0.1111114757727136
10002,53.0,7,0.2250000000000001
10002,54.0,7,0.061224268236
10002,55.0,6,0.0040902650912766
10002,56.0,7,0.0337859308357515
10002,57.0,7,0.06113174532832
10002,58.0,6,-0.0664283637794856
10002,59.0,4,0.0149995128
10002,60.0,5,-0.022476
10002,61.0,3,0.0258830843641426
10002,62.0,2,0.1215379999999999
10002,63.0,3,-0.0289657370206999
10002,64.0,2,0.042857427334416
10002,65.0,3,-0.0362066433209999
10002,66.0,3,-0.0108111252634185
10002,67.0,2,-0.038532726211
10002,68.0,2,0.161539089913
10002,69.0,4,0.1099994546986251
10002,70.0,5,0.2836935343811722
10002,71.0,6,0.1860242587746965
10002,72.0,8,0.06061203438368
10002,73.0,7,0.1643474829760762
10002,74.0,8,-0.1832500371250001
10002,75.0,8,-0.0563070888746228
10002,76.0,4,-0.0927873482148788
10002,77.0,5,-0.0161814107037572
10002,78.0,1,0.1159992843831696
10002,79.0,3,-0.1763521901498143
10002,80.0,2,-0.1610255757608032
10002,81.0,1,0.028395644903725
10002,82.0,3,-0.2751514274637624
10002,83.0,0,0.2593223242597178
10003,29.0,3,-0.1931817517437709
10003,30.0,1,-0.0298142042731899
10003,31.0,1,-0.1683860791189806
10003,32.0,2,0.4111852592295768
10003,33.0,5,0.0913778536196296
10003,34.0,8,-0.1084340519961292
10003,35.0,8,0.0407203509909999
10003,36.0,7,-0.0253494858741379
10003,37.0,2,-0.1395830075781986
10003,38.0,0,0.0810085041541253
10003,39.0,1,-0.4848487023020924
10003,40.0,0,-0.0588226579328859
10003,41.0,0,-0.281249625
10003,63.0,9,
10006,4.0,6,0.0788039834507456
10006,5.0,5,-0.0788161819999814
10006,6.0,5,-0.1802110526531436
10006,7.0,3,0.1597926150763962
10006,8.0,3,-0.151314383968
10006,9.0,2,-0.073068023897027
10006,10.0,3,0.0637391899224637
10006,11.0,2,0.0416111565552881
10006,12.0,1,-0.0054819000333724
10006,13.0,1,0.0937042027915233
10006,14.0,0,0.4652516684010783
10006,15.0,5,0.0068622653726
10006,16.0,7,0.0274770198744123
10006,17.0,9,
10008,29.0,3,-0.1366907958396053
10008,30.0,2,0.05
10008,31.0,6,-0.3333327749765933
10008,32.0,1,0.3095246803632936
10008,33.0,3,0.2545463947365247
10008,34.0,7,0.2463771420524745
10008,35.0,9,
10009,29.0,1,-0.1100769495385599
10009,30.0,3,-0.1660463148813741
10009,31.0,1,-0.2529949453719999
10009,32.0,0,0.4805555149305374
10009,33.0,3,0.1198454669979218
10009,34.0,6,0.0324060756463824
10009,35.0,8,-0.0219631022649998
10009,36.0,8,0.0001264951909176
10009,37.0,5,-0.1131622635296992
10009,38.0,1,0.0125004499999998
10009,39.0,1,-0.245475597285
10009,40.0,0,7.180938133011239e-07
10009,41.0,0,-0.0364289275583352
10009,42.0,1,-0.0734269356643811
10009,43.0,3,0.1016004896
10009,44.0,6,0.2457262117756171
10009,45.0,7,0.1692309999999999
10009,46.0,8,-0.1461990184288901
10009,47.0,4,0.0172411249999999
10009,48.0,3,0.0935264687499999
10009,49.0,3,0.2036428343263447
10009,50.0,4,0.0850954892277011
10009,51.0,7,0.1262915418559631
10009,52.0,7,0.1746697201493923
10009,53.0,8,0.166667209841
10009,54.0,8,0.0998936653119999
10009,55.0,7,-0.0204195841218174
10009,56.0,7,-0.1073965415148767
10009,57.0,5,0.114356783474
10009,58.0,5,0.0740991172189191
10009,59.0,4,-0.0681508288956249
10009,60.0,4,0.1270992479645085
10009,61.0,7,0.2126340830926101
10009,62.0,7,0.2597799216580001
10009,63.0,7,-0.0381937449803564
10009,64.0,7,0.0982132823833905
