PERMNO,QNO,PRRET,QRET,TURND,ILLIQ,ex,SIZE,PRC,mea_DTD,VOLATILITY,ILLIQ_RANK,SIZE_RANK,MOM_RANK,ILLIQ_CAT,SIZE_CAT,MOM_CAT,OVERALL_COMBO,OVERALL_DECILE,FRET1
10211,82.0,0.1040069838435497,-0.1228414922909145,0.5083518788071932,-2.073385355247423e-07,,317501.6875,11.9375,6.175668905253069,0.0244016195790126,25,47,59,25,47,59,43.666666666666664,4,0.2565442228781329
10211,83.0,0.0410611816779451,0.2565442228781329,0.5398200762319433,-2.533846526383843e-07,,478815.0,15.0,7.408071214814323,0.0295046173798298,23,54,43,23,54,43,40.0,3,0.0069258019275537
10216,81.0,0.7142870763599625,-0.421686596124302,20.7838665726851,-3.566562172937382e-09,,514272.0,24.0,796.4330454264749,0.0455351252476255,76,61,70,76,61,70,69.0,7,-0.6197916801146819
10225,81.0,-0.3319557326475421,-0.2359061965323088,3.192551743049558,-1.4721636554324027e-09,1.0,4101675.0,25.0,82.49120917544668,0.0246430530631228,86,88,11,86,88,11,61.666666666666664,6,-0.0695311826
10225,82.0,-0.4246943327439961,-0.0695311826,3.3817685017836907,-1.2769544248460931e-09,1.0,3651439.5,23.0625,86.32331370263823,0.0262594808168323,86,87,11,86,87,11,61.333333333333336,6,0.1594165748257785
10225,83.0,-0.1492424818617025,0.1594165748257785,3.5460698088947757,-1.179901199498209e-09,1.0,4158221.0,26.5,83.76612470815058,0.0240191330773618,85,87,27,85,87,27,66.33333333333333,7,0.141485307017676
10230,81.0,0.0860779120178414,0.0293494793462643,3.129753779805883,-5.239033455341057e-08,,181543.25,28.5625,82.9856391820007,0.0221349413985294,40,38,47,40,38,47,41.666666666666664,3,0.0176169118922979
10230,82.0,-0.0513392121375579,0.0176169118922979,2.4933196479766653,-7.20534800657546e-08,,183132.25,28.8125,69.19911380572788,0.0178355799571412,37,36,47,37,36,47,40.0,3,0.0672536637028291
10230,83.0,0.04977528119588,0.0672536637028291,1.696318532346052,-6.649150080644393e-08,,203252.0,30.5,49.25048052208424,0.0196955256060641,37,36,44,37,36,44,39.0,3,0.1392599624275998
10238,81.0,-0.5913626589344364,-0.4660460364645447,6.299963346523711,-2.8155131032558026e-08,,244222.5,7.5,58.72309686378697,0.0389575190899146,48,45,1,48,45,1,31.333333333333332,2,0.3265372848734154
10238,82.0,-0.503682938706668,0.3265372848734154,3.585681130849468,-3.5604994909285625e-08,,319534.25,9.8125,30.62900043786929,0.0438428396488486,47,47,7,47,47,7,33.666666666666664,2,0.1067776556962369
10238,83.0,-0.1545411957306858,0.1067776556962369,2.6638141642440867,-4.1111274424562643e-08,,350063.0,10.75,25.561924576365367,0.03622017640337,41,47,26,41,47,26,38.0,3,-0.4186048944543999
10239,81.0,-0.0504814931727609,-0.1194618436965103,2.0921619513759375,-3.7150747075681177e-07,,197276.25,19.375,37.8258943726304,0.0252291305807741,17,40,35,17,40,35,30.666666666666668,2,-0.1145947977191176
