PERMNO,mean_size,num_obs
24109,8043032.671875,12
24184,2439439.1197916665,12
24205,9532639.59375,12
24221,5490663.098958333,12
24248,1467091.5677083333,12
24256,3834254.3125,12
24264,7157832.744791667,12
24272,2372783.765625,12
24299,533174.4375,3
24328,1674856.34375,12
24360,4295013.135416667,12
24379,880515.328125,12
24432,1562679.21875,12
24440,1578559.6822916667,12
24459,10174074.838541666,12
24467,172013.72916666666,12
24476,1493538.2760416667,12
24539,9520416.359375,12
24548,446873.3307291667,12
24563,9369963.520833334,12
24572,44548.4375,5
24628,1080373.5104166667,12
24643,25486120.270833332,12
24678,89458551.175,5
24766,5032972.916666667,12
24803,2457856.9739583335,12
24811,715214.4140625,8
24935,,0
24942,6045704.552083333,12
24951,139813.85416666666,12
24969,1091792.5104166667,12
24985,5140559.869791667,12
25013,67054334.171875,12
25022,918667.1979166666,12
25072,2645223.2239583335,12
25073,118545.1,5
25080,69531.984375,12
25081,7802490.71875,12
25099,797095.96875,12
25129,2090475.734375,12
25217,275132.9375,3
25232,929758.484375,12
25267,49557531.958333336,12
25304,1025533.5520833334,12
25320,12373146.770833334,12
25348,866239.0885416666,12
25419,3576705.2135416665,12
25443,2009437.7760416667,12
25452,120835.8125,12
25487,10013112.442708334,12
25582,2195539.1666666665,12
25590,1989986.5677083333,12
25612,95212.67857142857,7
25769,5500770.333333333,12
25778,24302411.197916668,12
25785,50116710.375,12
25786,41861.8125,1
25953,8973776.234375,12
25961,583018.75,2
25989,101008.875,12
26009,1024081.7604166666,12
26060,6683.989583333333,12
26075,1667247.446386,10
26083,2513896.0364583335,12
26084,198131.89285714287,7
26112,6178173.661458333,12
26163,1113346.671875,12
26201,102872.49479166667,12
26252,424085.0486111111,9
26294,2214751.5729166665,12
26331,,0
26332,6199426.330869167,12
26374,768975.4427083334,12
26382,2349937.90625,12
26403,77070186.140625,12
26438,753869.4114583334,12
26463,141730.21875,12
26470,701683.6354166666,12
26518,2863062.5625,12
26535,78362.46875,12
26586,3349822.875,8
26606,2100568.0625,12
26607,258374.86458333334,12
26614,318631.7604166667,12
26649,154550.0,12
26650,71310.140625,12
26657,602597.875,12
26710,7066232.46875,12
26753,,0
26825,10451461.119791666,12
27043,1444198.5572916667,12
27204,,0
27254,146389.59375,12
27334,1241118.6510416667,12
27422,254293.61979166666,12
27430,847362.1510416666,12
27431,55565.390625,12
27449,,0
27474,89674.4609375,12
27511,1281986.4791666667,12
27562,798077.0677083334,12
27617,14295.292556666667,12
27618,304956.96875,12
27633,1194659.0677083333,12
27677,19580.75,6
27684,2580209.5,12
27705,2671523.46875,12
27713,18292611.145833332,12
27748,1518205.8854166667,12
27756,1745611.9635416667,12
27764,274354.0208333333,12
